dopant,concentration,Tc,Th,Tmit,Hysteresis_Width,Resistance Ratio,Distance,Selected,Within_Tmit,Within_Hyst
Ti,1.40%,38.31663326653307,39.39879759519039,38.85771543086173,1.0821643286573206,37.31287827610975,40001895.950116396,True,False,False
Ti,1.60%,38.31663326653307,40.120240480961925,39.21843687374749,1.8036072144288582,34.251187852777534,20370013.031354375,True,False,False
Ti,1.80%,38.31663326653307,39.57915831663327,38.947895791583164,1.2625250501002014,33.10941378832941,33969817.62556836,True,False,False
Ti,2.00%,38.13627254509018,38.677354709418836,38.40681362725451,0.5410821643286567,26.113216425882918,64081812.08160008,True,False,False
Ti,2.20%,37.59519038076152,38.13627254509018,37.86573146292585,0.5410821643286567,20.000579325627328,64081835.74174602,True,False,False
Ti,2.40%,37.234468937875754,38.13627254509018,37.68537074148297,0.9018036072144255,20.44530523677887,46951239.69527113,True,False,False
Ti,2.60%,37.9559118236473,38.13627254509018,38.04609218436874,0.18036072144288084,21.671745852050055,86450338.18052192,True,False,False
Ti,2.80%,37.234468937875754,38.13627254509018,37.68537074148297,0.9018036072144255,21.276998654443645,46951239.69527113,True,False,False
Ti,3.00%,38.496993987975955,40.4809619238477,39.48897795591183,1.9839679358717461,50.92403149742763,17048504.27226736,True,False,False
Ti,3.20%,38.31663326653307,39.03807615230461,38.677354709418836,0.7214428857715447,32.94414845039202,54934750.64093329,True,False,False
Ti,3.40%,38.31663326653307,40.120240480961925,39.21843687374749,1.8036072144288582,34.41859168753948,20370013.031354375,True,False,False
Ti,3.60%,38.496993987975955,40.30060120240481,39.39879759519039,1.8036072144288582,44.59247806518187,20370005.567528926,True,False,False
Ti,3.80%,38.31663326653307,39.39879759519039,38.85771543086173,1.0821643286573206,38.99891048423223,40001895.950116396,True,False,False
Ti,4.00%,38.857715430861724,40.30060120240481,39.57915831663327,1.4428857715430894,64.3899656009115,28749145.097556207,True,False,False
Ti,4.20%,38.13627254509018,39.03807615230461,38.587174348697395,0.9018036072144326,48.66157572358238,46951200.26169427,True,False,False
Ti,4.40%,38.13627254509018,39.03807615230461,38.587174348697395,0.9018036072144326,47.21612972904544,46951200.26169427,True,False,False
Ti,4.60%,38.13627254509018,39.57915831663327,38.857715430861724,1.4428857715430894,58.278803103611715,28749175.082977954,True,False,False
Ti,4.80%,38.13627254509018,39.57915831663327,38.857715430861724,1.4428857715430894,56.06218054708592,28749175.082977954,True,False,False
Ti,5.00%,37.9559118236473,38.13627254509018,38.04609218436874,0.18036072144288084,25.41628935632292,86450338.18052192,True,False,False
Ni,0.20%,41.38276553106213,45.17034068136273,43.27655310621243,3.7875751503006043,46.633151087404705,2218931.6638195342,True,False,False
Ni,0.40%,41.743486973947896,45.17034068136273,43.45691382765531,3.4268537074148355,39.80216275481625,3485142.0924697304,True,False,False
Ni,0.60%,41.563126252505015,45.17034068136273,43.36673346693387,3.6072144288577164,41.21261544423163,2789742.8401476606,True,False,False
Ni,0.80%,41.02204408817636,44.629258517034074,42.825651302605216,3.6072144288577164,44.31878661743029,2789761.13284528,True,False,False
Ni,1.00%,40.66132264529058,43.90781563126253,42.28456913827655,3.2464929859719476,41.1050590606567,4327791.570377278,True,False,False
Ni,1.20%,39.39879759519039,41.20240480961924,40.30060120240481,1.803607214428851,42.08038880342339,20369969.224301532,True,False,False
Ni,1.40%,39.03807615230461,41.20240480961924,40.120240480961925,2.164328657314627,39.20014356170103,14210906.173650652,True,False,False
Ni,1.60%,39.21843687374749,41.743486973947896,40.480961923847694,2.525050100200403,41.25053066264733,9747276.035488272,True,False,False
Ni,1.80%,39.03807615230461,41.20240480961924,40.120240480961925,2.164328657314627,44.88945594239192,14210906.173650652,True,False,False
Ni,2.00%,38.857715430861724,41.563126252505015,40.21042084168337,2.705410821643291,52.74580667568346,8017296.017343925,True,False,False
